Gender,Income_Label,Discount_Used,Age_Group,Purchase_Category,total_purchases,total_returns,Return_%,low_base
Male,High,False,31–40,Books,3,3.0,100.0,False
Male,High,False,31–40,Clothing,4,4.0,100.0,False
Male,High,False,31–40,Electronics,3,2.0,66.7,False
Male,High,False,31–40,Food & Beverages,3,1.0,33.3,False
Male,High,False,31–40,Groceries,3,2.0,66.7,False
Male,High,False,31–40,Home Appliances,4,4.0,100.0,False
Male,High,False,31–40,Hotels,3,2.0,66.7,False
Male,High,False,31–40,Jewelry & Accessories,4,2.0,50.0,False
Male,High,False,41–50,Baby Products,4,4.0,100.0,False
Male,High,False,41–50,Health Supplements,3,0.0,0.0,False
Male,High,False,41–50,Travel & Leisure (Flights,4,4.0,100.0,False
Male,High,True,21–30,Software & Apps,4,3.0,75.0,False
Male,High,True,31–40,Health Care,4,3.0,75.0,False
Male,High,True,31–40,Jewelry & Accessories,4,4.0,100.0,False
Male,High,True,31–40,Packages),3,2.0,66.7,False
Male,High,True,41–50,Animal Feed,3,1.0,33.3,False
Male,High,True,41–50,Baby Products,3,2.0,66.7,False
Male,High,True,41–50,Books,4,3.0,75.0,False
Male,High,True,41–50,Gardening & Outdoors,3,2.0,66.7,False
Male,High,True,41–50,Health Supplements,3,3.0,100.0,False
Male,High,True,41–50,Jewelry & Accessories,3,2.0,66.7,False
Male,High,True,41–50,Mobile Accessories,4,2.0,50.0,False
Male,High,True,41–50,Toys & Games,4,3.0,75.0,False
Male,High,True,41–50,Travel & Leisure (Flights,3,3.0,100.0,False
Male,Middle,False,21–30,Home Appliances,3,2.0,66.7,False
Male,Middle,False,21–30,Office Supplies,5,3.0,60.0,False
Male,Middle,False,21–30,Sports & Outdoors,4,2.0,50.0,False
Male,Middle,False,21–30,Travel & Leisure (Flights,4,2.0,50.0,False
Male,Middle,False,31–40,Books,3,3.0,100.0,False
Male,Middle,False,31–40,Clothing,5,3.0,60.0,False
Male,Middle,False,31–40,Sports & Outdoors,4,1.0,25.0,False
Male,Middle,False,41–50,Beauty & Personal Care,3,3.0,100.0,False
Male,Middle,False,41–50,Health Care,3,3.0,100.0,False
Male,Middle,False,41–50,Home Appliances,3,2.0,66.7,False
Male,Middle,False,41–50,Software & Apps,4,4.0,100.0,False
Male,Middle,True,21–30,Books,3,2.0,66.7,False
Male,Middle,True,21–30,Furniture,3,3.0,100.0,False
Male,Middle,True,21–30,Gardening & Outdoors,3,2.0,66.7,False
Male,Middle,True,21–30,Home Appliances,4,1.0,25.0,False
Male,Middle,True,21–30,Hotels,3,2.0,66.7,False
Male,Middle,True,21–30,Software & Apps,3,2.0,66.7,False
Male,Middle,True,31–40,Books,3,3.0,100.0,False
Male,Middle,True,31–40,Groceries,4,4.0,100.0,False
Male,Middle,True,31–40,Luxury Goods,3,1.0,33.3,False
Male,Middle,True,31–40,Toys & Games,3,3.0,100.0,False
Male,Middle,True,41–50,Animal Feed,3,2.0,66.7,False
Male,Middle,True,41–50,Food & Beverages,4,2.0,50.0,False
Male,Middle,True,41–50,Furniture,3,2.0,66.7,False
Male,Middle,True,41–50,Health Supplements,3,2.0,66.7,False
Male,Middle,True,41–50,Sports & Outdoors,6,4.0,66.7,False
